fibroblast	endothelial_cell	macrophage	myofibroblast_cell
ENSG00000105509	7.158	0.133	0.363	0.221991701244813
ENSG00000123610	5.123	0.114	0.799	0.147302904564315
ENSG00000161970	30.935	21.77	18.626	15.7634854771784
ENSG00000197958	55.782	27.413	33.389	21.6452282157676
ENSG00000248144	3.327	0.047	0.132	0.0684647302904564
ENSG00000113758	2.096	0.638	0.155	0.182572614107884
ENSG00000147403	81.797	54.012	40.809	45.4834024896266
ENSG00000162244	37.828	24.81	21.424	21.792531120332
ENSG00000099864	1.548	0.598	0.131	0.327800829875519
ENSG00000150907	2.108	0.965	0.546	0.369294605809129
ENSG00000181458	1.489	0.081	0.101	0.0643153526970954
ENSG00000142541	46.92	22.253	29.507	22.4626556016598
ENSG00000112306	67.11	43.944	45.657	25.1887966804979
ENSG00000167526	85.136	50.62	49.817	37.3734439834025
ENSG00000008018	3.794	2.137	1.999	2.14315352697095
ENSG00000182899	33.622	22.374	17.137	18.2634854771784
ENSG00000109475	55.501	41.769	31.784	29.6058091286307
ENSG00000109814	1.746	0.243	0.227	0.288381742738589
ENSG00000140988	51.431	35.332	36.455	26.0601659751037
ENSG00000105193	35.028	17.983	29.244	21.8858921161826
ENSG00000186468	47.417	31.723	28.839	22.4211618257261
ENSG00000144713	50.762	38.328	31.413	27.2261410788382
ENSG00000170889	40.666	28.956	28.162	23.7365145228216
ENSG00000109321	0.197	0.725	6.918	0.350622406639004
ENSG00000121966	0.266	0.318	1.866	0.286307053941909
ENSG00000134539	0.066	0.077	0.05	0.016597510373444
ENSG00000102786	1.9	2.859	4.389	2.45228215767635
ENSG00000164169	0.235	0.07	0.523	1.02282157676349
ENSG00000181788	0.288	0.228	1.471	0.284232365145228
ENSG00000108106	2.075	2.758	2.804	1.59336099585062
ENSG00000130844	4.839	0.468	2.92	5.85477178423236
ENSG00000168209	2.5	2.227	2.359	3.8402489626556
ENSG00000071051	0.268	0.349	0.689	0.780082987551867
ENSG00000101109	0.388	0.379	1.53	0.275933609958506
ENSG00000187118	0.629	0.451	0.436	0.340248962655602
ENSG00000102760	0.446	5.445	1.468	1.56016597510373
ENSG00000106462	0.111	0.164	0.356	0.0622406639004149
ENSG00000142546	0.768	0.887	0.659	0.493775933609959
ENSG00000105323	1.377	0.856	2.194	1.24273858921162
ENSG00000178896	0.276	0.137	0.18	0.109958506224066
ENSG00000100100	0.341	0.237	0.946	0.122406639004149
ENSG00000161547	1.923	1.927	2.186	1.54771784232365
ENSG00000160208	0.295	0.274	0.268	0.190871369294606
ENSG00000114867	1.138	1.269	1.268	0.659751037344398
ENSG00000132819	0.109	0.163	0.125	0.0705394190871369
ENSG00000072818	0.084	0.039	0.105	0.045643153526971
ENSG00000178974	0.176	0.262	0.37	0.178423236514523
ENSG00000161542	0.409	0.724	0.343	0.385892116182573
ENSG00000253738	0.697	0.59	0.514	0.601659751037344
ENSG00000124795	2.719	2.283	3.689	2.29253112033195
ENSG00000125347	6.23	8.734	2.122	3.98547717842324
ENSG00000173207	0.947	0.363	0.612	0.323651452282158
ENSG00000085563	0.008	0.312	0.019	0.00829875518672199
ENSG00000083896	0.844	1.099	1.037	0.935684647302905
ENSG00000160961	0.128	0.082	0.09	0.0767634854771784
ENSG00000163818	0.131	0.085	0.065	0.037344398340249
ENSG00000110628	0.125	0.014	0.241	0.232365145228216
ENSG00000073614	0.928	0.978	1.292	0.724066390041494
ENSG00000249915	0.14	0.124	0.117	0.0746887966804979
ENSG00000036257	0.477	0.623	0.644	0.49792531120332
ENSG00000179832	0.077	0.091	0.261	0.0705394190871369
ENSG00000161835	0.476	2.435	0.994	0.16597510373444
ENSG00000152601	2.414	2.728	3.978	2.29253112033195
ENSG00000160688	0.17	0.137	0.155	0.0788381742738589
ENSG00000145675	3.627	0.568	1.65	0.844398340248963
ENSG00000107960	0.106	0.296	0.146	0.0560165975103734
ENSG00000174946	0.017	0.022	0.067	0.016597510373444
ENSG00000188483	3.034	1.65	1.318	3.16597510373444
ENSG00000276168	0.63	1.754	1.23	0.400414937759336
