cell_type	gene
macrophage	ENSG00000143322
macrophage	ENSG00000042753
macrophage	ENSG00000143384
macrophage	ENSG00000170873
macrophage	ENSG00000138071
macrophage	ENSG00000088827
macrophage	ENSG00000248323
macrophage	ENSG00000165092
macrophage	ENSG00000090621
macrophage	ENSG00000143549
macrophage	ENSG00000102575
macrophage	ENSG00000160213
macrophage	ENSG00000072274
macrophage	ENSG00000019169
macrophage	ENSG00000090674
macrophage	ENSG00000114353
macrophage	ENSG00000169896
macrophage	ENSG00000108774
macrophage	ENSG00000153208
macrophage	ENSG00000010610
macrophage	ENSG00000164125
macrophage	ENSG00000130830
macrophage	ENSG00000165025
macrophage	ENSG00000197535
macrophage	ENSG00000140403
macrophage	ENSG00000115355
macrophage	ENSG00000060982
macrophage	ENSG00000176974
macrophage	ENSG00000205302
macrophage	ENSG00000136295
macrophage	ENSG00000124299
macrophage	ENSG00000079215
macrophage	ENSG00000182287
macrophage	ENSG00000135838
macrophage	ENSG00000145416
macrophage	ENSG00000280046
macrophage	ENSG00000150540
macrophage	ENSG00000183020
macrophage	ENSG00000242574
macrophage	ENSG00000163563
macrophage	ENSG00000059377
macrophage	ENSG00000113552
macrophage	ENSG00000140575
macrophage	ENSG00000119508
macrophage	ENSG00000156052
macrophage	ENSG00000100280
macrophage	ENSG00000004399
macrophage	ENSG00000136156
macrophage	ENSG00000115919
macrophage	ENSG00000187474
macrophage	ENSG00000124882
myofibroblast_cell	ENSG00000074181
myofibroblast_cell	ENSG00000205362
myofibroblast_cell	ENSG00000185551
myofibroblast_cell	ENSG00000169715
myofibroblast_cell	ENSG00000187513
myofibroblast_cell	ENSG00000185633
myofibroblast_cell	ENSG00000158859
myofibroblast_cell	ENSG00000108691
myofibroblast_cell	ENSG00000162772
myofibroblast_cell	ENSG00000181649
myofibroblast_cell	ENSG00000105655
myofibroblast_cell	ENSG00000151491
myofibroblast_cell	ENSG00000141232
myofibroblast_cell	ENSG00000173918
myofibroblast_cell	ENSG00000143333
myofibroblast_cell	ENSG00000166148
myofibroblast_cell	ENSG00000213160
myofibroblast_cell	ENSG00000260549
myofibroblast_cell	ENSG00000165959
myofibroblast_cell	ENSG00000167772
myofibroblast_cell	ENSG00000116132
myofibroblast_cell	ENSG00000167601
myofibroblast_cell	ENSG00000172201
myofibroblast_cell	ENSG00000165795
myofibroblast_cell	ENSG00000091436
myofibroblast_cell	ENSG00000157150
myofibroblast_cell	ENSG00000122035
myofibroblast_cell	ENSG00000151617
myofibroblast_cell	ENSG00000099998
myofibroblast_cell	ENSG00000071205
myofibroblast_cell	ENSG00000138031
myofibroblast_cell	ENSG00000186594
myofibroblast_cell	ENSG00000119630
myofibroblast_cell	ENSG00000109452
myofibroblast_cell	ENSG00000131127
myofibroblast_cell	ENSG00000003989
myofibroblast_cell	ENSG00000170412
