erythrocyte	classical_monocyte	neutrophil	memory_B_cell	plasma_cell	platelet
ENSG00000135372	0	0.097	0.00928792569659443	0.188284518828452	0.821276595744681	0.03
ENSG00000112701	0.028	0.869	0.264189886480908	1.01673640167364	2.05531914893617	0.64
ENSG00000106682	0.026	1.408	0.207430340557276	0.786610878661088	5.0468085106383	0.59
ENSG00000149485	0.003	0.293	0.0123839009287926	0.0167364016736402	0.114893617021277	0.38
ENSG00000177853	0.012	0.517	0.210526315789474	0.485355648535565	0.774468085106383	0.04
ENSG00000131469	0.336	11.712	2.16202270381837	15.8117154811715	43.0851063829787	3.06
ENSG00000096401	0.014	0.733	0.174406604747162	0.656903765690377	3.0936170212766	0.4
ENSG00000138279	0.681	1.155	0.259029927760578	0.690376569037657	3.97021276595745	1
ENSG00000100804	0.012	0.336	0.0350877192982456	0.133891213389121	2.7531914893617	0.17
ENSG00000141429	0.018	0.7	0.276573787409701	0.414225941422594	4.05957446808511	0.32
ENSG00000198931	0.117	2.28	0.124871001031992	1.79916317991632	8.7531914893617	0.92
ENSG00000100442	0.01	0.481	0.0670794633642931	0.485355648535565	3.60425531914894	0.28
ENSG00000143420	0.11	1.034	0.291021671826625	1.09205020920502	5.52765957446809	1.52
ENSG00000138449	0.558	0.728	0.633642930856553	0.0460251046025105	0.212765957446809	1.98
ENSG00000175334	0.029	0.745	0.0804953560371517	0.648535564853556	4.88936170212766	0.57
ENSG00000105849	0.005	0.246	0.0134158926728586	0.384937238493724	1.4468085106383	0.02
ENSG00000198000	0.006	0.365	0.0371517027863777	0.589958158995816	2.18297872340426	0.19
ENSG00000115904	0.011	0.362	0.101135190918473	0.301255230125523	1.22553191489362	0.48
ENSG00000174720	0.024	0.85	0.188854489164087	0.782426778242678	2.75744680851064	0.21
ENSG00000150316	0.025	0.953	0.183694530443756	0.849372384937239	3.65106382978723	0.25
ENSG00000153914	0.023	1.351	0.319917440660475	1.0418410041841	3.86808510638298	0.3
ENSG00000170248	0.017	1.353	0.308565531475748	0.828451882845188	1.57021276595745	0.32
ENSG00000197579	0.034	0.309	0.139318885448916	0.518828451882845	1.07234042553191	0.04
ENSG00000102898	0.079	0.403	0.0557275541795666	0.376569037656904	3.03404255319149	1.84
ENSG00000114503	0.012	0.505	0.0381836945304438	0.774058577405858	2.37021276595745	0.22
ENSG00000140319	0.238	5.256	1.29514963880289	4.0418410041841	19.9404255319149	4.35
ENSG00000058272	0.035	1.516	1.00722394220846	1.11715481171548	3.18297872340426	1.38
ENSG00000093167	0.064	0.579	0.25593395252838	0.271966527196653	1.71914893617021	1.06
ENSG00000100714	0.002	0.095	0.0134158926728586	0.259414225941423	2.28936170212766	0.05
ENSG00000205339	0.002	0.543	0.0299277605779154	0.301255230125523	1.99574468085106	0.14
ENSG00000089063	0.056	1.049	0.158926728586171	0.631799163179916	3.30212765957447	0.76
ENSG00000107937	0.006	0.36	0.0515995872033024	0.376569037656904	3.07234042553192	0.15
ENSG00000146223	0.042	0.684	0.0763673890608875	0.627615062761506	3.65957446808511	0.28
ENSG00000165704	0.004	0.338	0.0804953560371517	0.188284518828452	1.06382978723404	0.11
ENSG00000011295	0.006	0.272	0.0340557275541796	0.447698744769874	1.36595744680851	0.15
ENSG00000083099	0.026	0.565	0.0691434468524252	0.635983263598326	1.42553191489362	0.13
ENSG00000172493	0.096	0.562	0.168214654282766	0.389121338912134	1.71489361702128	0.46
ENSG00000165119	0.36	4.65	1.34984520123839	3.17573221757322	14.8042553191489	2.27
ENSG00000156990	0.006	0.2	0.0309597523219814	0.129707112970711	0.948936170212766	0.17
ENSG00000163811	0.011	0.547	0.0464396284829721	0.527196652719665	3.98297872340426	0.12
ENSG00000155850	0.001	0.158	0.0288957688338493	0.0920502092050209	0.331914893617021	0.01
ENSG00000188690	0.084	0.318	0.0485036119711042	0.322175732217573	1.40425531914894	0.58
ENSG00000116062	0.003	0.125	0.043343653250774	0.192468619246862	3.11914893617021	0.16
ENSG00000205544	0.016	0.646	0.0712074303405573	0.456066945606695	2.77872340425532	0.19
ENSG00000101132	0.041	0.301	0.043343653250774	0.322175732217573	1.57872340425532	0.13
ENSG00000056097	0.024	0.953	0.155830753353973	0.640167364016736	2.58297872340426	0.4
ENSG00000159131	0.004	0.248	0.0712074303405573	0.338912133891213	1.68085106382979	0.07
ENSG00000187742	0.099	0.643	0.150670794633643	0.841004184100418	2.12340425531915	0.55
ENSG00000121022	0.053	0.544	0.120743034055728	0.422594142259414	2.66382978723404	0.26
ENSG00000154310	0.011	0.081	0.0196078431372549	0.0627615062761506	0.429787234042553	1.09
ENSG00000079134	0.003	0.162	0.021671826625387	0.376569037656904	1.22978723404255	0.03
ENSG00000128340	0.1	2.132	1.8813209494324	2.98744769874477	13.131914893617	1.77
ENSG00000126261	0.017	0.609	0.0546955624355005	0.564853556485356	3.57872340425532	0.26
ENSG00000160948	0.546	1.638	0.532507739938081	0.920502092050209	3.76595744680851	1.62
ENSG00000198015	0.038	0.351	0.0485036119711042	0.539748953974895	2.57021276595745	0.2
ENSG00000128708	0.008	0.404	0.117647058823529	0.238493723849372	2.39148936170213	0.33
ENSG00000071794	0.007	0.063	0.00619195046439629	0.154811715481172	1.49787234042553	0.41
ENSG00000053372	0.003	0.142	0.0123839009287926	0.317991631799163	3.35744680851064	0.1
ENSG00000066117	0.012	0.219	0.0629514963880289	0.418410041841004	1.99574468085106	0.07
ENSG00000115816	0.011	0.454	0.171310629514964	0.711297071129707	2.3063829787234	0.04
ENSG00000173848	0.005	0.106	0.0206398348813209	0.0125523012552301	1.33191489361702	0.33
ENSG00000181222	0.03	0.573	0.263157894736842	0.677824267782427	2.79574468085106	0.15
ENSG00000170142	0.011	0.54	0.0681114551083591	0.435146443514644	1.33617021276596	0.36
ENSG00000129675	0.011	0.807	0.2218782249742	0.309623430962343	0.825531914893617	0.03
ENSG00000128928	0.007	0.183	0.0288957688338493	0.255230125523013	1.01702127659574	0.1
ENSG00000138777	0.008	0.274	0.0732714138286894	0.355648535564854	1.50212765957447	0.21
ENSG00000143418	0.019	0.584	0.105263157894737	0.251046025104602	1.22553191489362	1.65
ENSG00000165102	0.011	0.351	0.0928792569659443	0.200836820083682	0.136170212765957	0.06
ENSG00000119421	0.012	0.389	0.0392156862745098	0.238493723849372	2.59148936170213	0.35
ENSG00000164934	0.01	0.17	0.0288957688338493	0.280334728033473	2.27234042553191	0.1
ENSG00000168288	0.037	0.497	0.47781217750258	0.380753138075314	3.50212765957447	0.22
ENSG00000167553	0.023	0.442	0.139318885448916	0.259414225941423	4.8	1.78
ENSG00000224578	0.005	0.052	0.00206398348813209	0.0669456066945607	0.506382978723404	0.05
ENSG00000136485	0.022	0.653	0.150670794633643	0.330543933054393	1.68510638297872	0.23
ENSG00000066654	0.027	0.552	0.121775025799794	0.744769874476987	1.80851063829787	0.44
ENSG00000106344	0.003	0.273	0.0330237358101135	0.389121338912134	1.72340425531915	0.08
ENSG00000131143	0.351	11.92	2.24355005159959	6.57322175732218	25.8085106382979	3.41
ENSG00000225484	0.012	0.389	0.105263157894737	0.489539748953975	0.902127659574468	0.13
ENSG00000197969	0.013	0.149	0.0949432404540764	0.380753138075314	1.10212765957447	0.22
ENSG00000179833	0.041	0.912	0.237358101135191	0.497907949790795	0.48936170212766	0.07
ENSG00000122958	0.04	0.762	0.178534571723426	0.439330543933054	1.28510638297872	0.65
ENSG00000106723	0.001	0.129	0.0299277605779154	0.125523012552301	0.280851063829787	0.05
ENSG00000170340	0.012	0.298	0.1671826625387	0.217573221757322	0.68936170212766	0.58
ENSG00000012061	0.023	0.823	0.022703818369453	0.355648535564854	1.1531914893617	0.28
ENSG00000156471	0.008	0.548	0.142414860681115	0.313807531380753	1.45106382978723	0.09
ENSG00000182307	0.008	0.27	0.0185758513931889	0.338912133891213	1.48510638297872	0.15
ENSG00000107874	0.016	0.435	0.0598555211558308	0.255230125523013	1.05957446808511	0.22
ENSG00000149084	0.017	0.624	0.307533539731682	0.246861924686192	2.45531914893617	0.65
ENSG00000173588	0.011	0.066	0.00722394220846233	0.188284518828452	1.05106382978723	0
ENSG00000272047	0.011	0.526	0.130030959752322	0.317991631799163	1.34468085106383	0.39
ENSG00000147679	0.004	0.268	0.0474716202270382	0.464435146443515	1.53191489361702	0.07
ENSG00000067057	0.011	0.19	0.00412796697626419	0.150627615062762	1.31914893617021	0.45
ENSG00000113068	0.02	0.411	0.0381836945304438	0.476987447698745	1.99574468085106	0.28
