Tissue,Mixture,CellType,PerturbedVsTrueSpearman,RecoveredVsTrueSpearman,Pass_0_8
Blood,Mixture48,neutrophil,0.9994943896497326,0.986745558097593,True
Blood,Mixture48,memory_B_cell,0.9993903284150081,0.9301807063897365,True
Blood,Mixture48,plasma_cell,0.9994872068339764,0.9983706948054298,True
Blood,Mixture48,platelet,0.999553376702053,0.9938873715541395,True
Blood,Mixture49,erythrocyte,0.9995130177580721,0.8056282611181016,True
Blood,Mixture49,classical_monocyte,0.9992154863983849,0.9603985404102366,True
Blood,Mixture49,neutrophil,0.9994943896497326,0.8623234980565225,True
Blood,Mixture49,memory_B_cell,0.9993903284150081,0.9993758635180316,True
Blood,Mixture49,plasma_cell,0.9994872068339764,0.9987650508848355,True
Blood,Mixture49,platelet,0.999553376702053,0.9995073238077345,True
Blood,Mixture50,erythrocyte,0.9995130177580721,0.7995183611368483,False
Blood,Mixture50,classical_monocyte,0.9992154863983849,0.9686995772080427,True
Blood,Mixture50,neutrophil,0.9994943896497326,0.9604257186320726,True
Blood,Mixture50,memory_B_cell,0.9993903284150081,0.9863624791314624,True
Blood,Mixture50,plasma_cell,0.9994872068339764,0.9994592356002061,True
Blood,Mixture50,platelet,0.999553376702053,0.9975898111688719,True
Blood,Mixture51,erythrocyte,0.9995130177580721,0.8544386741728202,True
Blood,Mixture51,classical_monocyte,0.9992154863983849,0.9821658845785799,True
Blood,Mixture51,neutrophil,0.9994943896497326,0.9538425325957145,True
Blood,Mixture51,memory_B_cell,0.9993903284150081,0.99190970651965,True
Blood,Mixture51,plasma_cell,0.9994872068339764,0.9994872068339764,True
Blood,Mixture51,platelet,0.999553376702053,0.9961734977113741,True
Blood,Mixture52,erythrocyte,0.9995130177580721,0.8114136442076272,True
Blood,Mixture52,classical_monocyte,0.9992154863983849,0.9229863348245504,True
Blood,Mixture52,neutrophil,0.9994943896497326,0.9975851744841572,True
Blood,Mixture52,memory_B_cell,0.9993903284150081,0.9913676543548802,True
Blood,Mixture52,plasma_cell,0.9994872068339764,0.9990452996571608,True
Blood,Mixture52,platelet,0.999553376702053,0.998362736571808,True
Blood,Mixture53,erythrocyte,0.9995130177580721,0.7852322746958688,False
Blood,Mixture53,classical_monocyte,0.9992154863983849,0.9673046412569676,True
Blood,Mixture53,neutrophil,0.9994943896497326,0.9208161591585275,True
Blood,Mixture53,memory_B_cell,0.9993903284150081,0.9849400504571788,True
Blood,Mixture53,plasma_cell,0.9994872068339764,0.9993883112800563,True
Blood,Mixture53,platelet,0.999553376702053,0.9984604075685828,True
Blood,Mixture54,erythrocyte,0.9995130177580721,0.7544037456595373,False
Blood,Mixture54,classical_monocyte,0.9992154863983849,0.9641188346044969,True
Blood,Mixture54,neutrophil,0.9994943896497326,0.8754335170065258,True
Blood,Mixture54,memory_B_cell,0.9993903284150081,0.9989387166982121,True
Blood,Mixture54,plasma_cell,0.9994872068339764,0.9992330517742508,True
Blood,Mixture54,platelet,0.999553376702053,0.9995200858620045,True
Blood,Mixture55,erythrocyte,0.9995130177580721,0.8459765854745572,True
Blood,Mixture55,classical_monocyte,0.9992154863983849,0.9515136688757797,True
Blood,Mixture55,neutrophil,0.9994943896497326,0.9106969256553777,True
Blood,Mixture55,memory_B_cell,0.9993903284150081,0.9776731453646553,True
Blood,Mixture55,plasma_cell,0.9994872068339764,0.9991123539846931,True
Blood,Mixture55,platelet,0.999553376702053,0.9995196043699773,True
Blood,Mixture56,erythrocyte,0.9995130177580721,0.7970848366907269,False
Blood,Mixture56,classical_monocyte,0.9992154863983849,0.9621642747051844,True
Blood,Mixture56,neutrophil,0.9994943896497326,0.8683296402395961,True
Blood,Mixture56,memory_B_cell,0.9993903284150081,0.9988375198083379,True
Blood,Mixture56,plasma_cell,0.9994872068339764,0.998305671266103,True
Blood,Mixture56,platelet,0.999553376702053,0.9986337451956204,True
