Tissue,Mixture,MeanPerturbedSpearman,MeanRecoveredSpearman,MinRecoveredSpearman,MeanPass_0_8,AllCellTypesPass_0_8,MetaSortIterations,MetaSortConverged,Proportion_erythrocyte,Proportion_classical_monocyte,Proportion_neutrophil,Proportion_memory_B_cell,Proportion_plasma_cell,Proportion_platelet
Blood,Mixture11,0.9994423009595378,0.9137026092122037,0.7169038468151635,True,False,25,True,0.32409613706418083,0.23965996863702846,0.3660783918799577,0.03546066852076763,0.03449301525454002,0.00021181864352536078
Blood,Mixture12,0.9994423009595378,0.9166949277185491,0.746884722835788,True,False,19,True,0.2197814099973623,0.3136915970273081,0.39297103389604665,0.014987906101640162,0.0578105582806569,0.0007574946969858607
Blood,Mixture13,0.9994423009595378,0.9251606173706431,0.7431738442908635,True,False,15,True,0.2514659213305654,0.3418393203818173,0.24419989780234225,0.1118229727181487,0.0462114732061809,0.004460414560945552
Blood,Mixture14,0.9994423009595378,0.9094322872068744,0.6240289901219609,True,False,29,True,0.29010958639825707,0.5384729307693332,0.012163371260044976,0.024404327243620932,0.12128237822623007,0.013567406102513762
Blood,Mixture15,0.9994423009595378,0.9503813850999902,0.7657672631031189,True,False,36,True,5.960966384627118e-07,0.33805649339321103,0.5231458079739919,0.04765956421856578,0.04359783525270538,0.04753970306488755
Blood,Mixture16,0.9994423009595378,0.8903229847668784,0.5913846785422862,True,False,34,True,0.45387917413889195,0.07206527817223368,0.3070375778795012,0.05004838325176777,0.0182016325988528,0.09876795395875265
Blood,Mixture17,0.9994423009595378,0.914424105735485,0.7591564625885726,True,False,25,True,0.11764618356359983,0.2717829142164246,0.5001720480792811,0.016783814251286125,0.062051106664489784,0.031563933224918704
Blood,Mixture18,0.9994423009595378,0.9191238805777832,0.7147062381037359,True,False,17,True,0.3416765438743567,0.23649445515143994,0.2222113393756913,0.1419087461213763,0.05696063666850649,0.0007482788086291751
Blood,Mixture19,0.9994423009595378,0.925521477636266,0.72854843243662,True,False,24,True,0.2963829471042649,0.34881399909419786,0.2633384974002383,0.05048090340393981,0.04095273683022189,3.0916167137209095e-05
Blood,Mixture20,0.9994423009595378,0.9266295517716094,0.7630314286144844,True,False,13,True,0.19922535763952115,0.3733841273846595,0.20336671359012098,0.15199964290581996,0.07093329916631294,0.001090859313565626
Blood,Mixture21,0.9994423009595378,0.9114966146457979,0.755139126186829,True,False,19,True,0.1540068539905027,0.23621834962759194,0.5179325033270948,0.01913183986751113,0.06187333843369334,0.010837114753606032
Blood,Mixture22,0.9994423009595378,0.9332225803771769,0.7622729266494825,True,False,18,True,0.24788222059780254,0.36621288142187197,0.2164353045945148,0.12163245760998728,0.029223009461418818,0.01861412631440464
Blood,Mixture23,0.9994423009595378,0.9185853297887535,0.7482045353188176,True,False,18,True,0.24730723373385408,0.3302101642069964,0.33639657034675313,0.0174065901537841,0.06689715241299453,0.001782289145617895
Blood,Mixture24,0.9994423009595378,0.9202088166910686,0.6774620995168996,True,False,15,True,0.31134233917528575,0.32016650513605166,0.22807620776197834,0.07782177426844702,0.0,0.06259317365823713
Blood,Mixture25,0.9994423009595378,0.9554761914216457,0.8031409089427962,True,True,29,True,5.53625890479554e-06,0.29353810838632927,0.5194918998134767,0.09239590898600475,0.023795010146579386,0.07077353640870518
Blood,Mixture26,0.9994423009595378,0.9016505449158722,0.7191042681301988,True,False,19,True,0.19095746992848509,0.2126882682572192,0.49048472211915034,0.015499236677653294,0.08344066237076642,0.006929640646725639
Blood,Mixture27,0.9994423009595378,0.9122760341568489,0.7179810146242088,True,False,23,True,0.26622959540799956,0.2548729158534175,0.41651549540545757,0.014881107721615458,0.04744796673967348,5.291887183649391e-05
Blood,Mixture28,0.9994423009595378,0.9361006433116659,0.7348074204970979,True,False,13,True,0.2362224176968138,0.41577774281036434,0.19037310728532397,0.09505634478507534,0.0,0.06257038742242262
Blood,Mixture29,0.9994423009595378,0.9440938344971901,0.7930772699382033,True,False,23,True,0.00019182489861458853,0.1528444425002566,0.4952856793949639,0.18976278145891493,0.07007550980257132,0.09183976194467872
Blood,Mixture30,0.9994423009595378,0.9193346281100231,0.7353859690759929,True,False,18,True,0.30890160846111175,0.2306561833935376,0.22799098709201393,0.18550466447201328,0.045901724447785834,0.0010448321335377135
Blood,Mixture31,0.9994423009595378,0.9124095599277511,0.6606229277922117,True,False,21,True,0.23179893648855318,0.5838485258763998,0.013875142336793775,0.025777827700282155,0.14148560904361607,0.0032139585543550404
Blood,Mixture32,0.9994423009595378,0.9126989285931112,0.7036316522041657,True,False,17,True,0.33839460714225295,0.3017922578877865,0.29532919250186157,0.00606221826180466,0.057011336800067536,0.001410387406226684
Blood,Mixture33,0.9994423009595378,0.9396501618774747,0.7822215982231057,True,False,13,True,0.19981146677866737,0.4283676172682484,0.18774467100085865,0.11692330883180757,0.03977245945456089,0.027380476665857165
Blood,Mixture34,0.9994423009595378,0.9133754747440755,0.7370912402958497,True,False,18,True,0.20651845814731346,0.27806243627832133,0.43572597366649823,0.019404242799781934,0.05936954648538658,0.0009193426226984507
Blood,Mixture35,0.9994423009595378,0.9258141445893552,0.7812192775033839,True,False,19,True,0.15581847903872564,0.3909979772560292,0.374012310991035,0.016468921546591676,0.05152757761964577,0.011174733547972791
Blood,Mixture36,0.9994423009595378,0.9203056308989458,0.7656948776649366,True,False,22,True,0.17146503620591597,0.33531016732051133,0.4136003927570418,0.003016140097647541,0.0543056191423214,0.02230264447656194
Blood,Mixture37,0.9994423009595378,0.9231534992257949,0.7301885658221376,True,False,10,True,0.23177728626917718,0.3332455038984987,0.14252662324415413,0.16977447275321156,0.06933708827596793,0.05333902555899049
Blood,Mixture38,0.9994423009595378,0.9473315323892929,0.8002614815452547,True,True,15,True,0.17193401533063268,0.4571944838221241,0.166679241321615,0.151406532436398,0.0,0.0527857270892302
Blood,Mixture39,0.9994423009595378,0.9352381755783538,0.6876704068425655,True,False,15,True,0.3144121567440083,0.451077278700432,0.0945298380859081,0.09694256260382911,0.0,0.04303816386582256
Blood,Mixture40,0.9994423009595378,0.9368726596269606,0.8132797311032061,True,True,12,True,0.11937917891412429,0.4590936254720675,0.2204949351954369,0.15582038247109156,0.04179955119237095,0.003412326754908886
Blood,Mixture41,0.9994423009595378,0.9153765254059976,0.7347379385929139,True,False,24,True,0.2281990792546155,0.3620178963892624,0.32670354749235336,0.020260243055635424,0.06197038315176375,0.0008488506563694569
Blood,Mixture42,0.9994423009595378,0.9302186541022888,0.762181895938829,True,False,19,True,0.2247066889934029,0.217969313021271,0.39388247640314433,0.08684711792421085,0.0,0.07659440365797096
Blood,Mixture43,0.9994423009595378,0.9215998090621533,0.7765277289232211,True,False,11,True,0.18835523304821278,0.21958682566114668,0.32626481117185474,0.20416298089390905,0.041140692823875565,0.02048945640100109
Blood,Mixture44,0.9994423009595378,0.9323258390680329,0.6892226836145483,True,False,14,True,0.3400492373429302,0.3497511275406765,0.12876266245839457,0.13652679062644266,0.0005382031817306969,0.04437197884982549
Blood,Mixture45,0.9994423009595378,0.9435030171880227,0.8389859181414745,True,True,15,True,0.15865411054626166,0.0032918231490854264,0.6849258782829177,0.08417036903486451,0.034151205749843254,0.034806613237027544
Blood,Mixture46,0.9994423009595378,0.9262752341226248,0.7936412959088713,True,False,8,True,0.1481005537456849,0.3529920827506124,0.25410591194665183,0.17178107813248483,0.059790111848379034,0.013230261576187074
Blood,Mixture47,0.9994423009595378,0.9333441250891976,0.682196906783489,True,False,15,True,0.36454336689583583,0.35804769993098984,0.10875186313507798,0.10901783249507895,0.0,0.059639237543017316
Blood,Mixture48,0.9994423009595378,0.8909454123111078,0.6864650435976104,True,False,17,True,0.18490163855579045,0.49397680967703456,0.006952607918959393,0.14427172682677786,0.16430965951322687,0.005587557508210858
Blood,Mixture49,0.9994423009595378,0.9223175238796048,0.786348117230569,True,False,23,True,0.1300941505730517,0.36399831753844164,0.44434905848547984,0.0018022981542443737,0.0582075053800699,0.0015486698687124847
Blood,Mixture50,0.9994423009595378,0.9341664176771359,0.742941356898491,True,False,16,True,0.2822663084871202,0.37240411581732075,0.1876978478259334,0.10471415714171461,0.024169849244011672,0.028747721483899327
Blood,Mixture51,0.9994423009595378,0.9471815637954674,0.814382261938164,True,True,17,True,0.19963746958274425,0.3256432487372046,0.3590087213584406,0.06131499686012391,0.0,0.0543955634614867
Blood,Mixture52,0.9994423009595378,0.9401988826904192,0.7686389894208426,True,False,9,True,0.17504258727705918,0.5909913309265982,0.011759711608822589,0.08998545218561478,0.11892785043246844,0.013293067569436856
Blood,Mixture53,0.9994423009595378,0.9271951901496199,0.7531873134603455,True,False,21,True,0.2672071768095193,0.298706153870532,0.3063064614225403,0.08785179361463695,0.027973535469520854,0.01195487881325064
Blood,Mixture54,0.9994423009595378,0.9154532071517293,0.7077084402312239,True,False,18,True,0.3115391260602547,0.32154240776897436,0.30921038517256333,0.015221453391029162,0.04162507040906672,0.0008615571981117732
Blood,Mixture55,0.9994423009595378,0.9272792838298228,0.7882136962372253,True,False,12,True,0.12992459160410588,0.4356717760962802,0.24206123840080118,0.13164522950006394,0.05926253877646942,0.0014346256222794855
Blood,Mixture56,0.9994423009595378,0.9158348568688673,0.7632198612177116,True,False,19,True,0.15622521243377635,0.3449954451050365,0.4053891695935437,0.014907902174402953,0.07332232971923727,0.005159940974003251
Blood,Mixture57,0.9994423009595378,0.9212831829125935,0.7436814633581217,True,False,21,True,0.3019138855037779,0.297520883208885,0.26190983360586106,0.0936721941170965,0.04439585811572823,0.0005873454486513221
Blood,Mixture58,0.9994423009595378,0.9567750908850652,0.8006151261889387,True,True,21,True,0.0,0.19047550485523929,0.5913985846771667,0.07995446648049644,0.05621798000117514,0.08195346398592229
Blood,Mixture59,0.9994423009595378,0.9299741507187643,0.7353438880522,True,False,19,True,0.3174078816610478,0.3956065509056423,0.22807058612647213,0.019738001336467945,0.03838646564338982,0.0007905143269800622
Blood,Mixture60,0.9994423009595378,0.9212460656004503,0.7079227407159279,True,False,25,True,0.43354354625923297,0.04140578320293653,0.3223088846803762,0.13999671728304144,0.04313847074132522,0.01960659783308762
Blood,Mixture61,0.9994423009595378,0.9203458851929934,0.7490658491544506,True,False,19,True,0.21369477847087787,0.3778980805005588,0.22602311016672402,0.11113434040997841,0.07010834655200761,0.00114134389985324
Blood,Mixture62,0.9994423009595378,0.9218109702812601,0.7282695553997102,True,False,17,True,0.3012358462042084,0.30107650918870826,0.2010936989877607,0.13475785110251975,0.05851290495098734,0.0033231895658154824
Blood,Mixture63,0.9994423009595378,0.9107915541150665,0.6322881697682371,True,False,21,True,0.3576488202756785,0.44867172901168284,0.016150367758939774,0.014211003032179103,0.127227484129343,0.03609059579217656
Blood,Mixture64,0.9994423009595378,0.9249707902082168,0.7636866208246226,True,False,18,True,0.22955303085007936,0.3136398274681105,0.25718001665292994,0.1467234816522619,0.052481369245819705,0.0004222741307986856
