Tissue,Mixture,CellType,PerturbedVsTrueSpearman,RecoveredVsTrueSpearman,Pass_0_8
Blood,Mixture38,classical_monocyte,0.9992154863983849,0.9697987376052556,True
Blood,Mixture38,neutrophil,0.9994943896497326,0.964059076015238,True
Blood,Mixture38,memory_B_cell,0.9993903284150081,0.9547565277931892,True
Blood,Mixture38,plasma_cell,0.9994872068339764,0.9994872068339764,True
Blood,Mixture38,platelet,0.999553376702053,0.995626164542844,True
Blood,Mixture39,erythrocyte,0.9995130177580721,0.6876704068425655,False
Blood,Mixture39,classical_monocyte,0.9992154863983849,0.9680397899535675,True
Blood,Mixture39,neutrophil,0.9994943896497326,0.9810287725016884,True
Blood,Mixture39,memory_B_cell,0.9993903284150081,0.9789263938764993,True
Blood,Mixture39,plasma_cell,0.9994872068339764,0.9994872068339764,True
Blood,Mixture39,platelet,0.999553376702053,0.9962764834618251,True
Blood,Mixture40,erythrocyte,0.9995130177580721,0.8132797311032061,True
Blood,Mixture40,classical_monocyte,0.9992154863983849,0.9484487538216538,True
Blood,Mixture40,neutrophil,0.9994943896497326,0.9064551831577479,True
Blood,Mixture40,memory_B_cell,0.9993903284150081,0.9544382864787332,True
Blood,Mixture40,plasma_cell,0.9994872068339764,0.999152050146592,True
Blood,Mixture40,platelet,0.999553376702053,0.9994619530538307,True
Blood,Mixture41,erythrocyte,0.9995130177580721,0.7347379385929139,False
Blood,Mixture41,classical_monocyte,0.9992154863983849,0.9472371585179704,True
Blood,Mixture41,neutrophil,0.9994943896497326,0.8151817761249474,True
Blood,Mixture41,memory_B_cell,0.9993903284150081,0.9975473072168978,True
Blood,Mixture41,plasma_cell,0.9994872068339764,0.9980426267183843,True
Blood,Mixture41,platelet,0.999553376702053,0.9995123452648723,True
Blood,Mixture42,erythrocyte,0.9995130177580721,0.762181895938829,False
Blood,Mixture42,classical_monocyte,0.9992154863983849,0.980926165977629,True
Blood,Mixture42,neutrophil,0.9994943896497326,0.8701713802880763,True
Blood,Mixture42,memory_B_cell,0.9993903284150081,0.9762622105509535,True
Blood,Mixture42,plasma_cell,0.9994872068339764,0.9994872068339764,True
Blood,Mixture42,platelet,0.999553376702053,0.9922830650242689,True
Blood,Mixture43,erythrocyte,0.9995130177580721,0.7765277289232211,False
Blood,Mixture43,classical_monocyte,0.9992154863983849,0.9607629125546244,True
Blood,Mixture43,neutrophil,0.9994943896497326,0.860955578240916,True
Blood,Mixture43,memory_B_cell,0.9993903284150081,0.9397026722462273,True
Blood,Mixture43,plasma_cell,0.9994872068339764,0.9988434469729102,True
Blood,Mixture43,platelet,0.999553376702053,0.9928065154350219,True
Blood,Mixture44,erythrocyte,0.9995130177580721,0.6892226836145483,False
Blood,Mixture44,classical_monocyte,0.9992154863983849,0.9721591897953437,True
Blood,Mixture44,neutrophil,0.9994943896497326,0.9713602776903317,True
Blood,Mixture44,memory_B_cell,0.9993903284150081,0.9660392801457477,True
Blood,Mixture44,plasma_cell,0.9994872068339764,0.9994869002999079,True
Blood,Mixture44,platelet,0.999553376702053,0.9956867028623178,True
Blood,Mixture45,erythrocyte,0.9995130177580721,0.8463610698477501,True
Blood,Mixture45,classical_monocyte,0.9992154863983849,0.9992045661621467,True
Blood,Mixture45,neutrophil,0.9994943896497326,0.8389859181414745,True
Blood,Mixture45,memory_B_cell,0.9993903284150081,0.9828319919389648,True
Blood,Mixture45,plasma_cell,0.9994872068339764,0.9986555032720275,True
Blood,Mixture45,platelet,0.999553376702053,0.9949790537657719,True
Blood,Mixture46,erythrocyte,0.9995130177580721,0.7936412959088713,False
