Tissue,Mixture,MeanSpearman,MinSpearman,AllPass_0_8,MetaSortIterations
Blood,Mixture63,0.9353770804123812,0.6966667932652966,False,15
Blood,Mixture64,0.9237751176674122,0.7522492959858594,False,18
Blood,Mixture65,0.9234349389649937,0.7557757514614273,False,17
Blood,Mixture66,0.9651775900786824,0.8373309924605051,True,17
Blood,Mixture67,0.9379681057835091,0.6901714955232857,False,36
Blood,Mixture68,0.9272266841114245,0.7811283799399923,False,14
Blood,Mixture69,0.9237583587848198,0.7531234955924552,False,25
Blood,Mixture70,0.9204842385183004,0.724736612056657,False,22
Blood,Mixture71,0.9206486449502291,0.7215771114233106,False,26
Blood,Mixture72,0.944167501716842,0.7836542504268288,False,25
Blood,Mixture73,0.9094392599522809,0.7059070203513171,False,16
Blood,Mixture74,0.9259361280850827,0.6940124902673573,False,25
Blood,Mixture75,0.9304709477685229,0.7798101589675518,False,16
Blood,Mixture76,0.9148293611050251,0.6237226103427044,False,27
Blood,Mixture77,0.9128916223831526,0.7035878121127715,False,26
Blood,Mixture78,0.9229502049675965,0.6962441233503569,False,25
Blood,Mixture79,0.9084834585291194,0.7172925621965538,False,20
Blood,Mixture80,0.9317476561169258,0.6902988054518534,False,15
Blood,Mixture81,0.9266083170456083,0.7115458206062674,False,20
Blood,Mixture82,0.9180996180306487,0.7304313142560184,False,19
Blood,Mixture83,0.9496124538120813,0.7868677241462594,False,33
Blood,Mixture84,0.9249365085351627,0.7820242662314731,False,11
Blood,Mixture85,0.9432290374033937,0.8146876389917004,True,16
Blood,Mixture86,0.9519779567963879,0.8249112716515627,True,24
Blood,Mixture87,0.9231877045694775,0.7414635282191401,False,17
Blood,Mixture88,0.9437446332649237,0.7667759079663542,False,33
Blood,Mixture89,0.9041561635047818,0.6852178999113925,False,12
Blood,Mixture90,0.9151298451193614,0.7182935877727759,False,22
Blood,Mixture91,0.9140128978419146,0.6777886370057823,False,18
Blood,Mixture92,0.9280077228897526,0.7175402113739233,False,17
Blood,Mixture93,0.9193113992997753,0.6812519693174606,False,22
Blood,Mixture94,0.9219620846909908,0.7612136156028505,False,16
Blood,Mixture95,0.9157192247678408,0.7087190767190952,False,24
Blood,Mixture96,0.9192045748940005,0.7402019435289712,False,19
Blood,Mixture97,0.9158639621967081,0.7479677223700549,False,20
Blood,Mixture98,0.9240960766479108,0.7490352239444725,False,20
Blood,Mixture99,0.9228695792377134,0.7756991491963463,False,12
Blood,Mixture100,0.9286638810779632,0.7375618343500668,False,15
