Tissue,Mixture,CellType,Spearman
Blood,Mixture38,plasma_cell,1.0
Blood,Mixture38,platelet,0.9969293829833721
Blood,Mixture39,erythrocyte,0.7313860022081102
Blood,Mixture39,classical_monocyte,0.9698314942826963
Blood,Mixture39,neutrophil,0.9786452786950874
Blood,Mixture39,memory_B_cell,0.9802428285092619
Blood,Mixture39,plasma_cell,1.0
Blood,Mixture39,platelet,0.9982576189952223
Blood,Mixture40,erythrocyte,0.8161745969103684
Blood,Mixture40,classical_monocyte,0.9491744731445427
Blood,Mixture40,neutrophil,0.9121589051177748
Blood,Mixture40,memory_B_cell,0.9572538544639992
Blood,Mixture40,plasma_cell,0.9996335385350308
Blood,Mixture40,platelet,0.9998280613163275
Blood,Mixture41,erythrocyte,0.7588566536437172
Blood,Mixture41,classical_monocyte,0.9561729313200297
Blood,Mixture41,neutrophil,0.8538126769789878
Blood,Mixture41,memory_B_cell,0.9586405816303927
Blood,Mixture41,plasma_cell,0.9990073660661571
Blood,Mixture41,platelet,0.9979648587088003
Blood,Mixture42,erythrocyte,0.7712547096860137
Blood,Mixture42,classical_monocyte,0.9827115170293418
Blood,Mixture42,neutrophil,0.8865126974883605
Blood,Mixture42,memory_B_cell,0.9767919490583136
Blood,Mixture42,plasma_cell,0.9999946739847394
Blood,Mixture42,platelet,0.9939834392483453
Blood,Mixture43,erythrocyte,0.758700317362391
Blood,Mixture43,classical_monocyte,0.9617298022741848
Blood,Mixture43,neutrophil,0.8462869209637113
Blood,Mixture43,memory_B_cell,0.9406807080033467
Blood,Mixture43,plasma_cell,0.9991152277415872
Blood,Mixture43,platelet,0.9943584247857818
Blood,Mixture44,erythrocyte,0.7152336467592233
Blood,Mixture44,classical_monocyte,0.9616997355755958
Blood,Mixture44,neutrophil,0.9173568494202093
Blood,Mixture44,memory_B_cell,0.9742403021089201
Blood,Mixture44,plasma_cell,0.9999906507250873
Blood,Mixture44,platelet,0.9980460168595275
Blood,Mixture45,erythrocyte,0.8284456177680328
Blood,Mixture45,classical_monocyte,0.9996717990066624
Blood,Mixture45,neutrophil,0.8386406438956829
Blood,Mixture45,memory_B_cell,0.982887273280832
Blood,Mixture45,plasma_cell,0.9989249084016719
Blood,Mixture45,platelet,0.9968026425822356
Blood,Mixture46,erythrocyte,0.7666776974019553
Blood,Mixture46,classical_monocyte,0.942607664229793
Blood,Mixture46,neutrophil,0.8343256728298992
Blood,Mixture46,memory_B_cell,0.976364168663834
Blood,Mixture46,plasma_cell,0.9983056329493443
Blood,Mixture46,platelet,0.9988240342425088
Blood,Mixture47,erythrocyte,0.7019334099992623
Blood,Mixture47,classical_monocyte,0.9762893318565335
Blood,Mixture47,neutrophil,0.9771369069679193
Blood,Mixture47,memory_B_cell,0.9786823462073495
Blood,Mixture47,plasma_cell,0.9999946739847394
Blood,Mixture47,platelet,0.9957065389017163
Blood,Mixture48,erythrocyte,0.7784401657507726
Blood,Mixture48,classical_monocyte,0.9385430306547654
Blood,Mixture48,neutrophil,0.999642254488554
Blood,Mixture48,memory_B_cell,0.954267145732908
Blood,Mixture48,plasma_cell,0.9995543761117843
Blood,Mixture48,platelet,0.9908934304511099
Blood,Mixture49,erythrocyte,0.7784052008407356
Blood,Mixture49,classical_monocyte,0.9517499255422859
Blood,Mixture49,neutrophil,0.7944840949313933
Blood,Mixture49,memory_B_cell,0.9928020392088492
Blood,Mixture49,plasma_cell,0.9982391916899498
Blood,Mixture49,platelet,0.9990508937754714
Blood,Mixture50,erythrocyte,0.7365327890431692
Blood,Mixture50,classical_monocyte,0.9565606941868404
Blood,Mixture50,neutrophil,0.9333646132327796
Blood,Mixture50,memory_B_cell,0.9786947542843446
Blood,Mixture50,plasma_cell,0.9998504880221659
Blood,Mixture50,platelet,0.9970931716541177
Blood,Mixture51,erythrocyte,0.7741541890118993
Blood,Mixture51,classical_monocyte,0.9750305662183824
Blood,Mixture51,neutrophil,0.8835020908874993
Blood,Mixture51,memory_B_cell,0.9939092924258415
Blood,Mixture51,plasma_cell,1.0
Blood,Mixture51,platelet,0.9938622806138876
Blood,Mixture52,erythrocyte,0.7554533726674932
Blood,Mixture52,classical_monocyte,0.9063563243517012
Blood,Mixture52,neutrophil,0.9999084418519366
Blood,Mixture52,memory_B_cell,0.9874982618565074
Blood,Mixture52,plasma_cell,0.9990879845262299
Blood,Mixture52,platelet,0.998438253410049
Blood,Mixture53,erythrocyte,0.7416761075438982
Blood,Mixture53,classical_monocyte,0.9615275509059026
Blood,Mixture53,neutrophil,0.8744594477244484
Blood,Mixture53,memory_B_cell,0.9775574431431316
Blood,Mixture53,plasma_cell,0.9996584444281142
Blood,Mixture53,platelet,0.9985687711948577
Blood,Mixture54,erythrocyte,0.748228604966415
Blood,Mixture54,classical_monocyte,0.9622611481633605
Blood,Mixture54,neutrophil,0.8524171696216098
Blood,Mixture54,memory_B_cell,0.9803068196864552
Blood,Mixture54,plasma_cell,0.9996137670875985
Blood,Mixture54,platelet,0.9990732950293402
Blood,Mixture55,erythrocyte,0.8008887223709251
Blood,Mixture55,classical_monocyte,0.9439648543959586
Blood,Mixture55,neutrophil,0.8906370064411939
Blood,Mixture55,memory_B_cell,0.965415966444082
Blood,Mixture55,plasma_cell,0.9992725563523568
Blood,Mixture55,platelet,0.9998844487120687
Blood,Mixture56,erythrocyte,0.7758996873612377
Blood,Mixture56,classical_monocyte,0.9584601964380771
Blood,Mixture56,neutrophil,0.8358805968957643
Blood,Mixture56,memory_B_cell,0.9731682390077532
Blood,Mixture56,plasma_cell,0.9977604620651218
Blood,Mixture56,platelet,1.0
Blood,Mixture57,erythrocyte,0.7240567590177047
Blood,Mixture57,classical_monocyte,0.9574551001610946
Blood,Mixture57,neutrophil,0.8644929298766443
Blood,Mixture57,memory_B_cell,0.9720979858138771
Blood,Mixture57,plasma_cell,0.9994800799168788
Blood,Mixture57,platelet,0.9999266584023023
Blood,Mixture58,erythrocyte,1.0
Blood,Mixture58,classical_monocyte,0.9742565464811355
Blood,Mixture58,neutrophil,0.8185535543225563
Blood,Mixture58,memory_B_cell,0.9817044815620151
Blood,Mixture58,plasma_cell,0.9976936169729012
Blood,Mixture58,platelet,0.9891836965495708
Blood,Mixture59,erythrocyte,0.7174376789469349
Blood,Mixture59,classical_monocyte,0.9519151630657774
Blood,Mixture59,neutrophil,0.913345185278048
Blood,Mixture59,memory_B_cell,0.9984285556259719
Blood,Mixture59,plasma_cell,0.9996971826710483
Blood,Mixture59,platelet,0.9993310543488751
Blood,Mixture60,erythrocyte,0.6939117607349338
Blood,Mixture60,classical_monocyte,0.9945923947042153
Blood,Mixture60,neutrophil,0.8541292093565055
Blood,Mixture60,memory_B_cell,0.9680928339493526
Blood,Mixture60,plasma_cell,0.9992008656970353
Blood,Mixture60,platelet,0.9992844574869322
Blood,Mixture61,erythrocyte,0.7376054342595468
Blood,Mixture61,classical_monocyte,0.9435858668399152
Blood,Mixture61,neutrophil,0.8733757184323891
Blood,Mixture61,memory_B_cell,0.966799252302581
Blood,Mixture61,plasma_cell,0.9989277438418076
Blood,Mixture61,platelet,0.9995211204962744
Blood,Mixture62,erythrocyte,0.7153164749173523
Blood,Mixture62,classical_monocyte,0.9525955606736469
Blood,Mixture62,neutrophil,0.890403266404913
Blood,Mixture62,memory_B_cell,0.965760468827385
Blood,Mixture62,plasma_cell,0.9992746254573207
Blood,Mixture62,platelet,0.9998831275314521
Blood,Mixture63,erythrocyte,0.6966667932652966
Blood,Mixture63,classical_monocyte,0.9470455098021177
Blood,Mixture63,neutrophil,0.9981460952863098
Blood,Mixture63,memory_B_cell,0.9858376066457544
Blood,Mixture63,plasma_cell,0.9994749837879866
Blood,Mixture63,platelet,0.9850914936868228
Blood,Mixture64,erythrocyte,0.7522492959858594
Blood,Mixture64,classical_monocyte,0.9544532159117205
Blood,Mixture64,neutrophil,0.8714369134463922
Blood,Mixture64,memory_B_cell,0.9653761314138285
Blood,Mixture64,plasma_cell,0.9992098318185454
Blood,Mixture64,platelet,0.9999253174281277
Blood,Mixture65,erythrocyte,0.7557757514614273
Blood,Mixture65,classical_monocyte,0.9580739518862254
Blood,Mixture65,neutrophil,0.8780835395557901
Blood,Mixture65,memory_B_cell,0.9492785039555052
Blood,Mixture65,plasma_cell,0.9994766697253645
Blood,Mixture65,platelet,0.9999212172056506
Blood,Mixture66,erythrocyte,1.0
Blood,Mixture66,classical_monocyte,0.9781349439656769
Blood,Mixture66,neutrophil,0.8373309924605051
Blood,Mixture66,memory_B_cell,0.9859113207136007
Blood,Mixture66,plasma_cell,0.9985912460678723
Blood,Mixture66,platelet,0.9910970372644391
Blood,Mixture67,erythrocyte,0.6901714955232857
Blood,Mixture67,classical_monocyte,0.9619597431823588
Blood,Mixture67,neutrophil,0.9971909704256458
Blood,Mixture67,memory_B_cell,0.9791309356346907
Blood,Mixture67,plasma_cell,0.9994324905027104
Blood,Mixture67,platelet,0.9999229994323634
