Tissue,Mixture,L1_Error,Accuracy,Iterations,Pred_erythrocyte,Pred_classical_monocyte,Pred_neutrophil,Pred_memory_B_cell,Pred_plasma_cell,Pred_platelet,Truth_erythrocyte,Truth_classical_monocyte,Truth_neutrophil,Truth_memory_B_cell,Truth_plasma_cell,Truth_platelet
Blood,Mixture55,0.1973497818414041,0.901325109079298,12,0.1296878061598682,0.4366156963204944,0.244892278703847,0.1300030894781371,0.0562302732751887,0.0025708560624644,0.1368186427148009,0.3868047244586088,0.3014095673168249,0.0811391704193205,0.0686891144022933,0.0251387806881512
Blood,Mixture56,0.1057587142926771,0.9471206428536616,15,0.1462552076768996,0.2967182704010582,0.3864142646976959,0.0988407807005815,0.0717714765237646,0.0,0.1430217448955299,0.2497201270339509,0.4195291256976179,0.0961930297027199,0.0915359726701812,0.0
Blood,Mixture57,0.2090652529895756,0.8954673735052121,21,0.3061427839698486,0.2934277449209382,0.2522910271820124,0.1030074563346145,0.0446918780796865,0.0004391095128996,0.2778406514045929,0.2437531527247028,0.3035060515830809,0.0764515546013177,0.0466634693285312,0.0517851203577743
Blood,Mixture58,0.1355377837654416,0.9322311081172792,18,0.0,0.1875314995433467,0.592495124517427,0.0864921575304304,0.0586001723544853,0.0748810460543104,0.0,0.1944379070042436,0.5285621108650882,0.1025274196497718,0.1034273946569678,0.0710451678239283
Blood,Mixture59,0.1806888345533941,0.9096555827233028,22,0.3165366727693375,0.3971137916669751,0.2214550303051411,0.0220229313442122,0.0355926866034832,0.0072788873108506,0.3010035783150159,0.3454943524434058,0.2888616340812469,0.0,0.0344237343488893,0.0302167008114418
Blood,Mixture60,0.2535345689805825,0.8732327155097087,26,0.4566018317594535,0.0579973486661426,0.3007831932431816,0.1266183891820055,0.0533797409634252,0.0046194961857914,0.387831895935305,0.0,0.348211476500632,0.163388197125608,0.0710996564947449,0.0294687739437101
Blood,Mixture61,0.1928428262448293,0.9035785868775852,16,0.2152294690268062,0.3752539233973903,0.2159009927182304,0.1203375284963264,0.0700454863151784,0.0032326000460681,0.195430710923779,0.3303139629048451,0.2675968275941881,0.0886548339694841,0.0769980776665781,0.0410055869411254
Blood,Mixture62,0.1914589992679725,0.9042705003660138,17,0.3107132728456915,0.3016995981012191,0.1951960988620102,0.1308972879194972,0.0591899222076695,0.0023038200639124,0.2753705697991508,0.2649265900381428,0.2358913186911018,0.1072834993951279,0.0804318537240082,0.0360961683524683
Blood,Mixture63,0.1175374183769243,0.941231290811538,15,0.3195718762299915,0.4352829455805297,0.0066544672240258,0.1001231922858096,0.0729132856753376,0.0654542330043056,0.3016612539343539,0.4010793259117309,0.0,0.1091664533259019,0.0800431363230699,0.1080498305049429
Blood,Mixture64,0.1435952751278974,0.9282023624360513,18,0.2348822760999441,0.318871065226521,0.2609990911484411,0.1295995817342037,0.0553963340694394,0.0002516517214506,0.212359038108161,0.27588097335828,0.295846842792588,0.123315274030279,0.0697848171033679,0.022813054607324
Blood,Mixture65,0.1770633976450323,0.9114683011774838,17,0.2377675250106378,0.2951551313066685,0.2486330298679852,0.1727745534727235,0.0449152692484772,0.0007544910935076,0.2102866402642889,0.2501439445487889,0.3021545786221898,0.1567349261544359,0.0520308854882557,0.0286490249220405
Blood,Mixture66,0.1621909507213164,0.9189045246393418,17,0.0,0.1794082511073996,0.6499415249556402,0.0618544401752808,0.0406231985523699,0.0681725852093093,0.0,0.213554468660847,0.5725059463023972,0.0841283756506785,0.0652985208841831,0.0645126885018942
Blood,Mixture67,0.3481929267766797,0.8259035366116602,36,0.4503638210782358,0.3484885612221093,0.0137769297977636,0.1120523912862337,0.0752546954655816,6.360115007585271e-05,0.3591084940018319,0.2794243547079369,0.0,0.1978791254208809,0.1180443847156499,0.0455436411537
Blood,Mixture68,0.1816695051363885,0.9091652474318056,14,0.141364914326517,0.4287110257881789,0.2586778076302932,0.1090780936097751,0.0612068821110284,0.0009612765342074,0.14648403169239,0.3806321767470451,0.308036229950568,0.0663221900827147,0.0681422110112463,0.030383160516036
Blood,Mixture69,0.194325808962384,0.902837095518808,25,0.3065998255250597,0.1644692573532359,0.3938859238987535,0.1012708045833096,0.0336647591378046,0.0001094295018365,0.2752479042411209,0.1249978624867859,0.4559132641316137,0.0749312162525063,0.0401226554223466,0.0287870974656261
Blood,Mixture70,0.1936343641312268,0.9031828179343866,22,0.2995284373348238,0.305980878314151,0.3051764507369864,0.0222551514163226,0.0540025139838319,0.0130565682138841,0.263143506159769,0.267803778839915,0.36106412855508,0.0,0.0552569839876958,0.05273160245754
Blood,Mixture71,0.1472433691223834,0.9263783154388082,26,0.3012691494866505,0.2083257158715012,0.3892574995253229,0.0577822037036862,0.0433654314128389,0.0,0.274402931018031,0.161570249778929,0.4427016853596011,0.0613250602014144,0.0600000736420244,0.0
Blood,Mixture72,0.1504405588626433,0.9247797205686784,25,0.2327533510872164,0.3238286058022046,0.3308561291553807,0.0735386829468283,0.0,0.0390232310083698,0.2230184687677081,0.2583432086903912,0.3764285689080003,0.0935766307665816,0.0,0.0486331228673186
Blood,Mixture73,0.3154796250568465,0.8422601874715767,16,0.2813682442343888,0.2775711457051996,0.3325547603022633,0.0139849447783226,0.0726664870760935,0.0218544179037319,0.2312181354826459,0.1839663867068419,0.4451009566777419,0.0,0.0797891894379366,0.0599253316948334
Blood,Mixture74,0.2068940113732153,0.8965529943133923,25,0.3586260208405553,0.348320530352617,0.1638112676230698,0.0562562836482802,0.045427440909491,0.0275584566259866,0.3126040661287289,0.2916140545113419,0.1917456302508339,0.1066462532500339,0.0447088657759848,0.0526811300830763
Blood,Mixture75,0.1555494221207121,0.922225288939644,16,0.1879431168575707,0.3470796471285727,0.307016120807083,0.1082302009869382,0.0471115500510697,0.0026193641687653,0.173128389809654,0.29816149844749,0.352343115878296,0.0941883656555817,0.058473988338167,0.0237046418708112
Blood,Mixture76,0.4152630136542347,0.7923684931728827,27,0.4459384283676857,0.3733707418836179,0.002462655036084,0.0338037039503177,0.1425437759513368,0.0018806948109576,0.3534135040537784,0.3221862520538223,0.0,0.1655101045877962,0.0810843383040064,0.0778058010005964
Blood,Mixture77,0.2105101926807888,0.8947449036596056,26,0.3287855341146558,0.2736799031817025,0.2955753062149379,0.0219263037256021,0.0647687380640353,0.0152642146990662,0.2803581473647959,0.2168521935911679,0.3230803140453799,0.0551145829303339,0.0763066620486036,0.0482881000197184
Blood,Mixture78,0.2275639000967046,0.8862180499516477,25,0.4909603711328435,0.0485733001824501,0.2627089613770597,0.1132275229532961,0.0562294202929997,0.0283004240613507,0.4257517212669414,0.0,0.2933386080973573,0.1475201364101181,0.0827730746992868,0.0506164595262963
Blood,Mixture79,0.1731156649655706,0.9134421675172146,20,0.1228112921749508,0.2593419636001728,0.526008695904552,0.0169957051963974,0.0745588799338983,0.0002834631900284,0.116320966628176,0.1819259244221041,0.5429651430856943,0.0594517322377476,0.0719074121759565,0.0274288214503213
Blood,Mixture80,0.3915301135433138,0.8042349432283431,15,0.2658703126093563,0.4452635114136579,0.1626902563548929,0.085756526786289,0.0,0.0404193928358038,0.2311204746938498,0.3060364637591707,0.3584553131265497,0.0770467022835352,0.0,0.0273410461368942
Blood,Mixture81,0.149107021438302,0.9254464892808488,20,0.3042090253532077,0.3313695022465506,0.1847850798016702,0.1062072545732128,0.0423596004632565,0.0310695375621019,0.2760564670526966,0.2903494856176786,0.2308352461969287,0.1008263187834448,0.0501476527253576,0.0517848296238934
Blood,Mixture82,0.21695147206005,0.891524263969975,19,0.3015459157940892,0.2563237199428368,0.318625725933429,0.0753810685303227,0.047515302255128,0.0006082675441942,0.2628808156594337,0.2072579694280787,0.3825454107081545,0.0546361831497112,0.0592176435624159,0.0334619774922057
Blood,Mixture83,0.2946149868032313,0.8526925065983844,33,0.0,0.3977934869580558,0.4019380895918998,0.088125873689652,0.058215165692927,0.0539273840674652,0.0,0.4185426525863797,0.2819471427046788,0.1587851538766148,0.1141142132792559,0.0266108375530705
Blood,Mixture84,0.3127269119437828,0.8436365440281086,11,0.1462363345854404,0.3114250359482728,0.2942111329071123,0.1724728742512285,0.0462776706107141,0.0293769516972317,0.1518566178905849,0.2749561538476179,0.4076385777430379,0.0525783003799919,0.0601368597850436,0.0528334903537234
Blood,Mixture85,0.116375033766527,0.9418124831167364,16,0.1591080026933952,0.4754689819306145,0.1672090499615993,0.1640131553753427,0.0342008100390482,0.0,0.1648511392835069,0.4241084599420058,0.2129277182483439,0.1571861604806879,0.0409265220454554,0.0
Blood,Mixture86,0.1425281874441091,0.9287359062779454,24,0.1676105728515873,0.4268946299553103,0.3113817720922731,0.0584265252143937,0.0,0.0356864998864354,0.1736194923963999,0.3584763267681119,0.3521113339076239,0.0829521375762848,0.0,0.0328407093515792
Blood,Mixture87,0.1898651123653003,0.9050674438173498,17,0.2747586762370767,0.2654113552269484,0.3148667071566088,0.1082690286776566,0.0363710422987823,0.000323190402927,0.253911112719498,0.220601797714357,0.380656550105161,0.0789935935251764,0.0415006458549097,0.0243363000808977
Blood,Mixture88,0.1657853623412905,0.9171073188293548,33,0.3031836357584174,0.3350319376737957,0.2720742236065447,0.0601704138654872,0.0004262045431142,0.0291135845526405,0.276019559927419,0.279729536877263,0.3162074990486551,0.0861620133401425,0.0,0.0418813908065202
Blood,Mixture89,0.2683602462627419,0.865819876868629,12,0.3439827186755793,0.0531700980716607,0.2676002417305132,0.1838247781520451,0.0992083967325591,0.0522137666376424,0.2842221366574371,0.0,0.3153873771640711,0.162575335110477,0.138776271580205,0.0990388794878095
Blood,Mixture90,0.3012618887638205,0.8493690556180897,22,0.2986269428647239,0.2137932065716552,0.3859794275546547,0.0505508881914232,0.0507103554356582,0.0003391793818845,0.2362518348134539,0.1255373702410149,0.4352505737205849,0.1126274285693409,0.0527787400161237,0.0375540526394813
Blood,Mixture91,0.1750053811014283,0.912497309449286,18,0.3419492177937019,0.3296784614997292,0.1881865555060458,0.0142490313425191,0.10941773824877,0.0165189956092337,0.310373826294644,0.288000193790592,0.230411370691801,0.0,0.116181845610252,0.0550327636127107
Blood,Mixture92,0.1941840695056298,0.9029079652471852,17,0.2886495779952074,0.4062586052185588,0.1595846691934264,0.0825002372467874,0.0615150902160631,0.0014918201299567,0.2692934504387168,0.3492992976682937,0.2175833790956878,0.0617236376007281,0.0646395622101328,0.0374606729864404
Blood,Mixture93,0.2439480153470651,0.8780259923264674,22,0.3979698468730296,0.255463936437297,0.2506446939647698,0.0149847233034797,0.0384790396913799,0.0424577597300437,0.3465843269078579,0.1998601720324159,0.3426383334018629,0.0,0.0436860042373148,0.0672311634205482
Blood,Mixture94,0.1777744755046042,0.911112762247698,16,0.2103684285757073,0.2654885085122125,0.2943690852091118,0.1780725681957971,0.0420549477757521,0.0096464617314188,0.186409859821289,0.231187770977635,0.345937245849061,0.148477320774073,0.0410222637341701,0.0469655388437719
Blood,Mixture95,0.2037787844822775,0.8981106077588612,24,0.3356916560829514,0.2500151519883306,0.3234457732852067,0.0224342461992283,0.0683110837221542,0.0001020887221286,0.3053894960914027,0.2008621659379688,0.3892432852301217,0.0,0.0770766399997904,0.0274284127407161
Blood,Mixture96,0.1729803293585718,0.913509835320714,19,0.2681867063330811,0.1902970407355584,0.4643915278506707,0.0193257260382627,0.0575330067091495,0.0002659923332776,0.2399593411669201,0.1513599672606961,0.5130256740073214,0.0,0.0700771052731075,0.0255779122919549
Blood,Mixture97,0.1885559748915201,0.90572201255424,20,0.2187085349331525,0.2650059150344014,0.3258391336478573,0.1250562335800768,0.0650438451461383,0.0003463376583735,0.1967644238810291,0.2296676517922261,0.3821363705697773,0.0880606204286153,0.0737900170803387,0.0295809162480133
Blood,Mixture98,0.199581202755824,0.9002093986220879,20,0.2857966614389474,0.2167284429038964,0.3269666170750426,0.1276100157769006,0.0426667307324739,0.0002315320727388,0.2591528970047527,0.1690092085778458,0.3903008920007275,0.1021824131592338,0.0531522615200716,0.0262023277373681
Blood,Mixture99,0.3189794040395952,0.8405102979802024,12,0.1814227404189337,0.2716081406765721,0.2974021236726159,0.1912519072360539,0.0461419270762379,0.0121731609195863,0.172818654874088,0.238072861134603,0.4023773797076851,0.073901570303071,0.0631006063133626,0.0497289276671902
Blood,Mixture100,0.1695902428396603,0.91520487858017,15,0.2492013502674035,0.4027019473942533,0.1785781930689974,0.0917933632189188,0.0659963052664999,0.0117288407839269,0.2367874735331111,0.3499513172560132,0.2266684325836181,0.0721627486716211,0.0784306069292403,0.035999421026396
